5/134/510|Théophile|https://i.imgur.com/EDHA4Cg.gif|TC
5/145/480|Théophile|https://i.imgur.com/gXsQ4Zi.gif|TA
6/159/406|Théophile||
7/154/378|Théophile||
8/111/574|XeniVari||
8/113/546|XeniVari||
18/114/351|Théophile||
31/96/260|XP / Muso|https://i.imgur.com/wjAeJBS.gif|AT
33/95/260|XP / Muso||
42/74/260|XP||
43/73/260|XP||
49/49/575|XeniVari||
53/70/260|XP||AC
61/46/529|XeniVari||
69/44/552|XeniVari||
140/35/484|XeniVari||
169/33/506|XP / XeniVari|https://i.imgur.com/Va9QV1b.gif|CT
170/33/484|XP / XeniVari||
209/33/462|XP / XeniVari|https://i.imgur.com/RBDF7oB.gif|CA
