3/36/91|Community|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Katsu%20Curry/Community%203%2C%2036%2C%2091/Kaizen%20-%20A%20Factory%20Story%20-%20Katsu%20Curry%20(3%2C%20%C2%A536M%2C%2091).gif|TC
3/38/70|kaliuresis||
3/44/63|Théophile||
3/48/54|wl|https://i.imgur.com/sbmGOoW.gif|TA
4/47/54|Théophile||
6/47/48|Nighthawk||
8/31/81|JohnDiGriz|https://raw.githubusercontent.com/JohnDiGriz/my-kaizen-gifs/refs/heads/master/Kaizen%20-%20A%20Factory%20Story%20-%20Katsu%20Curry%20(8%2C%20%C2%A531M%2C%2081).gif|
9/35/54|Théophile||
14/26/90|Théophile||
14/41/42|Nighthawk||AT,AC
16/36/45|Théophile||
17/23/55|kaliuresis||CT,CA
